3    0.219255 0.000884207
4    0.203773 0.00203253
5    0.228964 0.00182535
6    0.21473 0.00283118
7    0.2272 0.00361186
8    0.210636 0.00475186
9    0.224379 0.00645538
10   0.227584 0.00766225

