3    0.310129 0.000594687
4    0.199178 0.00146175
5    0.249388 0.00137332
6    0.211077 0.0020823
7    0.230589 0.00269934
8    0.209643 0.00370319
9    0.214668 0.00500647
10   0.223623 0.00555774

