1 0.693147 0
2 1.20993 0.0112667
3 1.84912 0.016861
4 2.40551 0.0237479
5 2.96065 0.0280904
6 3.47099 0.0359172
7 3.99152 0.0409552
8 4.50925 0.0484759
9 5.04472 0.0541998
10 5.59146 0.0619775
11 6.16598 0.0675068
12 6.71383 0.0749852
13 7.31332 0.0807509
14 7.94586 0.0882398
15 8.60774 0.0946641
16 9.14487 0.10469
17 9.7754 0.11155
18 10.4455 0.12021
19 11.1448 0.12832
20 11.8505 0.138354
21 12.6066 0.144213
22 13.3985 0.154198
23 14.2051 0.162401
24 14.9511 0.175213
25 15.7647 0.182151
26 16.6469 0.19033
27 17.5611 0.199327
28 18.3405 0.209018
29 19.1554 0.215857
30 19.8276 0.226356
31 20.1552 0.235831
