25 0.176741 0.190516 0.999751 6.66413e-06
24 0.17503 0.196994 0.999832 2.49295e-06
23 0.173807 0.2017 0.999894 1.00734e-06
22 0.172924 0.205138 0.999931 4.53138e-07
21 0.172249 0.207792 0.999953 2.18327e-07
20 0.171709 0.209927 0.999968 1.09663e-07
19 0.171266 0.211694 0.999977 5.64233e-08
18 0.170894 0.213183 0.999984 2.94148e-08
17 0.170577 0.214461 0.999988 1.53567e-08
16 0.170303 0.215568 0.999992 7.95255e-09
15 0.170065 0.216532 0.999994 4.06642e-09
14 0.169857 0.21738 0.999996 2.02119e-09
13 0.169676 0.218121 0.999997 9.83318e-10
12 0.169516 0.218777 0.999998 4.54442e-10
11 0.169377 0.219348 0.999999 2.0249e-10
10 0.169254 0.219852 0.999999 8.30546e-11
9 0.169149 0.220284 1 3.26983e-11
8 0.169059 0.220657 1 1.23075e-11
7 0.168975 0.221003 1 3.36406e-12
6 0.168914 0.221256 1 1.31703e-12
5 0.168846 0.221538 1 2.77465e-13
4 0.1688 0.221731 1 1.60731e-13
3 0.168735 0.222002 1 1.45685e-13
#2 0.169095 0.220505 1 1.94701e-18
