
32 0.171781 0.394791 0.997602 2256.66
31 0.16688 0.411048 0.99867 750.271
30 0.164026 0.42068 0.999127 320.276
29 0.162162 0.427048 0.999297 179.29
28 0.160672 0.43219 0.999395 108.222
27 0.159632 0.435805 0.999369 86.5069
26 0.15858 0.439488 0.99935 69.1571
25 0.157414 0.443598 0.999372 51.4111
24 0.156083 0.448312 0.999474 30.6676
23 0.155003 0.452154 0.999505 20.1069
22 0.154439 0.454172 0.9994 19.1475
21 0.153594 0.457204 0.99932 16.2966
20 0.152597 0.460796 0.999251 12.8561
19 0.151907 0.463287 0.999061 11.9416
18 0.151517 0.464702 0.99874 12.5841
17 0.150546 0.468231 0.998388 12.2981
