32 0.1758 0.193515 0.999715 8.00038e-06
31 0.174186 0.199989 0.999812 3.09567e-06
30 0.173066 0.204542 0.999879 1.3473e-06
29 0.172262 0.207846 0.999918 6.59438e-07
28 0.171647 0.210395 0.999942 3.48121e-07
27 0.171155 0.212448 0.999958 1.93027e-07
26 0.170748 0.214153 0.999969 1.10605e-07
25 0.170405 0.215601 0.999977 6.47624e-08
24 0.17011 0.216852 0.999983 3.84402e-08
23 0.169853 0.217945 0.999987 2.29682e-08
22 0.169627 0.218908 0.99999 1.37888e-08
21 0.169426 0.219767 0.999992 8.24003e-09
20 0.169248 0.220534 0.999994 4.90227e-09
19 0.169088 0.221223 0.999996 2.89163e-09
18 0.168944 0.221845 0.999997 1.67839e-09
17 0.168814 0.222406 0.999998 9.5457e-10
16 0.168698 0.22291 0.999998 5.35846e-10
15 0.168593 0.223367 0.999999 2.92179e-10
14 0.168499 0.223777 0.999999 1.56181e-10
13 0.168413 0.224148 0.999999 8.06238e-11
12 0.168337 0.224482 0.999999 4.0558e-11
11 0.168267 0.224788 1 1.90204e-11
10 0.168203 0.22507 1 7.63608e-12
9 0.168149 0.225306 1 3.04347e-12
8 0.168102 0.225512 1 1.12889e-12
7 0.16806 0.225695 1 3.52298e-13
6 0.168035 0.225804 1 2.65359e-13
5 0.167984 0.22603 1 5.58789e-14
4 0.167997 0.225971 1 6.84228e-14
#3 0.168049 0.225744 1 8.14034e-14
#2 0.167597 0.227731 1 1.15499e-17
