50 0.174071 0.199354 0.999667 1.0017e-05
49 0.172661 0.205587 0.999786 4.08463e-06
48 0.171722 0.209784 0.999859 1.96777e-06
47 0.171054 0.212798 0.9999 1.07555e-06
46 0.170542 0.215117 0.999926 6.3714e-07
45 0.170132 0.216986 0.999944 3.98349e-07
44 0.169793 0.218544 0.999956 2.58718e-07
43 0.169504 0.219873 0.999965 1.72811e-07
42 0.169253 0.221029 0.999972 1.17838e-07
41 0.169034 0.222047 0.999977 8.16253e-08
40 0.168838 0.222955 0.999981 5.72194e-08
39 0.168663 0.223771 0.999984 4.04769e-08
38 0.168505 0.224511 0.999987 2.88438e-08
37 0.168361 0.225185 0.999989 2.06422e-08
36 0.168229 0.225804 0.999991 1.4819e-08
35 0.168108 0.226373 0.999992 1.06479e-08
34 0.167997 0.226899 0.999994 7.6634e-09
33 0.167894 0.227386 0.999995 5.5129e-09
32 0.167798 0.227839 0.999995 3.95227e-09
31 0.167709 0.22826 0.999996 2.83012e-09
30 0.167626 0.228654 0.999997 2.014e-09
29 0.167549 0.229022 0.999997 1.42274e-09
28 0.167477 0.229365 0.999998 1.00044e-09
27 0.16741 0.229686 0.999998 6.97583e-10
26 0.167347 0.229987 0.999999 4.81253e-10
25 0.167288 0.230266 0.999999 3.29856e-10
24 0.167233 0.230531 0.999999 2.20923e-10
23 0.167181 0.230779 0.999999 1.44128e-10
22 0.167133 0.231009 0.999999 9.16965e-11
21 0.167088 0.231227 1 5.45459e-11
20 0.167055 0.231384 1 4.05176e-11
19 0.16703 0.231505 1 3.51547e-11
18 0.166997 0.231666 1 2.69799e-11
17 0.166957 0.231858 1 1.77301e-11
16 0.166922 0.232027 1 1.26533e-11
15 0.166875 0.232251 1 5.60178e-12
14 0.166864 0.232304 1 5.72277e-12
13 0.166867 0.232292 1 6.18818e-12
12 0.166854 0.232354 0.999999 6.55526e-12
11 0.166813 0.232554 0.999999 5.8594e-12
10 0.166826 0.232488 0.999999 6.41963e-12
#9 0.166791 0.232659 0.999998 6.85709e-12
#8 0.166959 0.231845 0.999998 3.22901e-12
#7 0.166894 0.232159 0.999997 3.41141e-12
#6 0.167104 0.231145 0.999996 2.35582e-12
#5 0.1668 0.232614 0.999995 1.45981e-12
#4 0.166617 0.233503 0.999983 1.7668e-12
#3 0.167453 0.22945 0.999937 1.78751e-12
#2 0.162087 0.255456 1 7.2434e-15
