16 0.178322 0.185648 0.999826 4.14208e-06
15 0.176495 0.191832 0.999876 1.43004e-06
14 0.175095 0.196674 0.999927 4.76256e-07
13 0.174075 0.200255 0.999957 1.69721e-07
12 0.173298 0.20301 0.999974 6.2565e-08
11 0.172687 0.205198 0.999985 2.30251e-08
10 0.172196 0.206968 0.999991 8.24917e-09
9 0.171797 0.208417 0.999995 2.7948e-09
8 0.171471 0.209607 0.999997 8.6981e-10
7 0.171204 0.210583 0.999999 2.37353e-10
6 0.170988 0.211379 0.999999 5.12409e-11
5 0.170821 0.211994 1 8.91363e-12
4 0.17069 0.212475 1 9.51595e-13
3 0.170595 0.212828 1 9.60471e-14
#2 0.17071 0.212403 1 5.82492e-20
